job_title,salary_count,salary_mean,salary_p25,salary_p75,salary_min,salary_max
Senior Project Manager,7,129285.71,120000.0,137500.0,120000.0,140000.0
Senior Quality Assurance Analyst,1,100000.0,100000.0,100000.0,100000.0,100000.0
Senior Research Scientist,49,137959.18,135000.0,145000.0,130000.0,160000.0
Senior Researcher,1,150000.0,150000.0,150000.0,150000.0,150000.0
Senior Sales Manager,2,132500.0,131250.0,133750.0,130000.0,135000.0
Senior Sales Representative,2,95000.0,92500.0,97500.0,90000.0,100000.0
Senior Scientist,3,123333.33,115000.0,130000.0,110000.0,140000.0
Senior Software Architect,1,120000.0,120000.0,120000.0,120000.0,120000.0
Senior Software Developer,3,118333.33,107500.0,125000.0,105000.0,140000.0
Senior Software Engineer,244,151326.69,137487.25,174361.0,99747.0,195270.0
Senior Training Specialist,1,100000.0,100000.0,100000.0,100000.0,100000.0
Senior UX Designer,3,155000.0,152500.0,160000.0,145000.0,160000.0
Social Media Man,1,100000.0,100000.0,100000.0,100000.0,100000.0
Social Media Manager,14,55000.0,55000.0,55000.0,55000.0,55000.0
Social Media Specialist,1,45000.0,45000.0,45000.0,45000.0,45000.0
Software Developer,125,64680.0,60000.0,70000.0,45000.0,95000.0
Software Engineer,518,113243.24,70000.0,160000.0,50000.0,197000.0
Software Engineer Manager,376,172567.12,160000.0,190543.0,25000.0,210000.0
Software Manager,1,110000.0,110000.0,110000.0,110000.0,110000.0
Software Project Manager,1,95000.0,95000.0,95000.0,95000.0,95000.0
Strategy Consultant,1,130000.0,130000.0,130000.0,130000.0,130000.0
Supply Chain Analyst,1,130000.0,130000.0,130000.0,130000.0,130000.0
Supply Chain Manager,1,105000.0,105000.0,105000.0,105000.0,105000.0
Technical Recruiter,1,70000.0,70000.0,70000.0,70000.0,70000.0
Technical Support Specialist,1,40000.0,40000.0,40000.0,40000.0,40000.0
Technical Writer,1,45000.0,45000.0,45000.0,45000.0,45000.0
Training Specialist,1,65000.0,65000.0,65000.0,65000.0,65000.0
UX Designer,1,80000.0,80000.0,80000.0,80000.0,80000.0
UX Researcher,1,65000.0,65000.0,65000.0,65000.0,65000.0
VP of Finance,1,200000.0,200000.0,200000.0,200000.0,200000.0
VP of Operations,1,190000.0,190000.0,190000.0,190000.0,190000.0
Web Developer,87,66436.78,55000.0,80000.0,35000.0,110000.0
